Region label,Raw Surface label,Region name,Hemi,Centroid R,Centroid A,Centroid S,DK Region Name,DK Overlap Ratio,AAL Region Name,AAL Overlap Ratio,HarvardOxford Region Name,HarvardOxford Overlap Ratio,MICCAI Region Name,MICCAI Overlap Ratio,BN Region Name,BN Overlap Ratio,Glasser Region Name,Glasser Overlap Ratio,Schaefer200 Region Name,Schaefer200 Overlap Ratio,Schaefer400 Region Name,Schaefer400 Overlap Ratio,Yeo7 Region Name,Yeo7 Overlap Ratio,Yeo17 Region Name,Yeo17 Overlap Ratio
6005,2077649,rh__rostralanteriorcingulate__15,Right,4,40,10,rh_rostralanteriorcingulate,1,Cingulum_Ant_R,0.807407407,"Cingulate Gyrus, anterior division_Right",0.974074074,Right_ACgG,0.885185185,R_A32sg,0.803703704,R_p24_ROI,0.962962963,7Networks_RH_Default_PFCdPFCm_2,0.740740741,7Networks_RH_Default_PFCdPFCm_3,0.87037037,Right Default,0.992592593,Right Default A,0.992592593
6006,10554496,rh__rostralanteriorcingulate__16,Right,11,39,-6,rh_medialorbitofrontal,1,Frontal_Med_Orb_R,0.890625,Paracingulate Gyrus_Right,0.484375,Right_ACgG,0.328125,R_A14m,0.640625,R_p32_ROI,1,7Networks_RH_Default_PFCdPFCm_2,0.828125,7Networks_RH_Default_PFCdPFCm_3,0.609375,Right Default,0.921875,Right Default A,0.921875
6007,12092118,rh__rostralanteriorcingulate__17,Right,2,27,-7,rh_rostralanteriorcingulate,1,Cingulum_Ant_R,0.673913043,Subcallosal Cortex_Right,0.72826087,Right_ACgG,0.869565217,R_A24rv,0.706521739,R_a24_ROI,1,7Networks_RH_Default_PFCdPFCm_1,0.902173913,7Networks_RH_Default_PFCdPFCm_1,0.902173913,Right Default,0.641304348,Right Default A,0.630434783
6008,13786833,rh__rostralanteriorcingulate__18,Right,3,31,-7,rh_rostralanteriorcingulate,1,Cingulum_Ant_R,0.863945578,Subcallosal Cortex_Right,0.448979592,Right_ACgG,0.918367347,R_A24rv,0.585034014,R_a24_ROI,0.965986395,7Networks_RH_Default_PFCdPFCm_1,0.537414966,7Networks_RH_Default_PFCdPFCm_1,0.918367347,Right Default,0.870748299,Right Default A,0.870748299
6009,1378694,rh__rostralanteriorcingulate__19,Right,9,36,-7,rh_rostralanteriorcingulate,1,Cingulum_Ant_R,0.830769231,Paracingulate Gyrus_Right,0.415384615,Right_ACgG,0.415384615,R_A14m,0.584615385,R_p32_ROI,0.846153846,7Networks_RH_Default_PFCdPFCm_2,0.846153846,7Networks_RH_Default_PFCdPFCm_1,0.646153846,Right Default,0.953846154,Right Default A,0.953846154
6010,8790477,rh__rostralanteriorcingulate__20,Right,9,43,0,rh_rostralanteriorcingulate,1,Cingulum_Ant_R,0.609561753,Paracingulate Gyrus_Right,0.490039841,Right_ACgG,0.637450199,R_A32sg,0.784860558,R_a24_ROI,0.944223108,7Networks_RH_Default_PFCdPFCm_2,0.988047809,7Networks_RH_Default_PFCdPFCm_3,0.988047809,Right Default,0.988047809,Right Default A,0.988047809
6011,15733023,rh__rostralanteriorcingulate__21,Right,8,39,19,rh_caudalanteriorcingulate,1,Cingulum_Ant_R,0.965853659,"Cingulate Gyrus, anterior division_Right",0.585365854,Right_ACgG,0.756097561,R_A32p,0.629268293,R_p24_ROI,0.492682927,7Networks_RH_Cont_PFCmp_1,0.863414634,7Networks_RH_Cont_PFCmp_1,0.946341463,Right Default,0.717073171,Right Default A,0.882926829
6012,16691636,rh__rostralanteriorcingulate__22,Right,4,24,-10,rh_rostralanteriorcingulate,1,Frontal_Med_Orb_R,0.584269663,Subcallosal Cortex_Right,0.898876404,Right_ACgG,0.730337079,R_A13,0.460674157,R_25_ROI,0.719101124,7Networks_RH_Default_PFCdPFCm_1,0.97752809,7Networks_RH_Default_PFCdPFCm_1,0.97752809,Right Default,0.494382022,Right Limbic B,0.865168539
6013,7823691,rh__rostralanteriorcingulate__23,Right,6,44,6,rh_rostralanteriorcingulate,1,Cingulum_Ant_R,0.848979592,"Cingulate Gyrus, anterior division_Right",0.659183673,Right_ACgG,0.867346939,R_A32sg,0.981632653,R_a24_ROI,0.834693878,7Networks_RH_Default_PFCdPFCm_2,0.993877551,7Networks_RH_Default_PFCdPFCm_3,0.993877551,Right Default,0.995918367,Right Default A,0.995918367
6014,9246748,rh__rostralanteriorcingulate__24,Right,7,39,-4,rh_rostralanteriorcingulate,1,Cingulum_Ant_R,0.573033708,"Cingulate Gyrus, anterior division_Right",0.612359551,Right_ACgG,0.780898876,R_A32sg,0.792134831,R_a24_ROI,0.696629213,7Networks_RH_Default_PFCdPFCm_2,0.926966292,7Networks_RH_Default_PFCdPFCm_3,0.904494382,Right Default,1,Right Default A,1
